
  Product name        Amount         Price (per kg)
S Watermelon          1703g          $31.0
S Watermelon          806g           $34.9
S Pineapple           362 g          $61
S Pineapple           551 g          $68.9
S Pear                1.375kg        $ 20.2
P banana              5.855kg        $17.72
S Orange              1844g          $26.7
S Apple (red)         0.545 kg       $9.40
S pear                319 g          $20.25
S Orange              396 g          $26.05
S Pear                1.98 kg        $17.8
P Watermelon          10.831 kg      $30.67
S pineapple           1130g          $62.5
S Orange              1.089 kg       $24.25
S Apple (red)         1.805 kg       $8.71
S Banana              693 g          $ 20.2
S Watermelon          135 g          $33.88
P Banana              9711 g         $ 17.47
S Orange              255 g          $25.27
S Watermelon          1.634 kg       $ 31.80
S Orange              1949g          $27.87
P Pear                15481g         $ 18.90
S Watermelon          213g           $ 29.73
S Pear                288 g          $20.93
S Banana              1344 g         $20.92
P pear                11735 g        $16.7
P Orange              1.502kg        $ 24.15
S Pineapple           1.817kg        $55.29
S Apple (red)         266 g          $9
S watermelon          1293 g         $32.70
S Pineapple           1.385 kg       $ 62
S orange              520 g          $27.89
S Watermelon          1.944kg        $31.89
S Apple (red)         1.173kg        $ 8.62
S Watermelon          183 g          $34.2
S Banana              1281 g         $19
S Pear                1.177 kg       $18
S Watermelon          811g           $31.21
S Pear                1.991 kg       $19.35
S Pear                1.798kg        $21.47
S Apple (red)         1.091 kg       $9.12
S orange              0.807kg        $23.8
P Apple (green)       13.845kg       $11.78
P Watermelon          5.474 kg       $ 24.57
S Banana              371g           $22.60
P Pear                17.952kg       $17.45
S Apple (green)       1262 g         $12.14
S Banana              744g           $22.8
S Banana              1433 g         $ 20.8
P Apple (red)         4358g          $7.87
S pear                1295g          $20.1
S Apple (green)       571g           $12.81
S watermelon          1.257 kg       $35.56
S Apple (red)         1.273 kg       $9.5
P orange              1270 g         $21.5
S watermelon          1.424 kg       $28
S apple (green)       1115g          $13.35
S Watermelon          1517g          $29.91
P Apple (green)       1655 g         $12.23
S Orange              417 g          $25.35
S Apple (red)         0.657 kg       $8.51
S Apple (green)       1.263kg        $11.52
S banana              1.257kg        $ 21.57
S Apple (red)         1.841kg        $8.82
P Orange              1422 g         $22.9
S Apple (green)       1297 g         $12.08
S Banana              903g           $20.6
S Pineapple           417g           $58.62
S apple (green)       1152g          $13.11
S pineapple           1831 g         $67.5
S Orange              666g           $24.6
S Pear                1.766 kg       $18.7
S apple (green)       569 g          $13.4
S Pear                1806 g         $ 19.64
S Banana              1762g          $20
S pear                1165 g         $17
S Pear                1199g          $17.32
S Watermelon          369 g          $35.08
S Pear                1212g          $18.55
S Apple (green)       355 g          $12.86
S Orange              557g           $ 26.00
S Pineapple           381g           $ 62.7
S pear                243 g          $20.79
S Pear                1.85kg         $17
S Banana              628g           $20.32
S Pineapple           954g           $63.49
S Apple (red)         1.51kg         $7.70
P Orange              1.551kg        $24.09
P Watermelon          1189 g         $30.15
S Pineapple           1.396kg        $64.71
S Apple (red)         378 g          $7.97
S Orange              1.596 kg       $ 28
S Apple (green)       495g           $11.8
S Pear                0.933 kg       $18.79
P Orange              1.559kg        $23.0
S Apple (red)         0.665kg        $7.7
S pear                106 g          $ 19.4
S Pineapple           1.252 kg       $ 60.4
S banana              1978g          $23.67
P banana              6.892 kg       $19.20
S Watermelon          422g           $32.1
S Banana              1993g          $19.81
S Apple (green)       189 g          $11.68
S Banana              1.609 kg       $ 23.20
S Apple (green)       1.522kg        $13.92
S Apple (green)       0.817kg        $12.7
S Pear                459 g          $21.44
P Apple (green)       1030g          $10.7
S pear                1925g          $19
S pear                1.072 kg       $ 17.8
S Watermelon          1962 g         $34.63
S Pineapple           0.845 kg       $63
S Pear                1.324 kg       $21.4
S Watermelon          1555 g         $ 30
S Banana              1.945kg        $21.4
S Apple (green)       932g           $12.78
S orange              1.63kg         $24.95
S Banana              1.551 kg       $19.82
S Orange              0.578 kg       $24.8
S Pineapple           1538 g         $61
S Pineapple           1602 g         $64.06
P Banana              12.462kg       $ 19.30
S Pineapple           1.153 kg       $66.49
S Pear                1701g          $21.32
S Apple (green)       888 g          $12.5
S Watermelon          1.921kg        $30.05
S Apple (green)       1939 g         $ 12.36
S Pineapple           1.665kg        $55.9
S Banana              696g           $21.13
S Apple (green)       1377g          $ 13.26
S Apple (red)         1.231kg        $ 8.2
S Banana              1300 g         $22.35
S Pineapple           254g           $59.88
S Pineapple           0.941kg        $ 65.38
S pear                808 g          $20.28
S apple (green)       168 g          $ 13.3
S Banana              1.278kg        $23
S Watermelon          378 g          $31.73
P Orange              0.891kg        $19.3
S Pear                0.644kg        $18
S Pear                1.496 kg       $18.26
P Pear                15220g         $14.9
S Watermelon          0.856kg        $29.77
S Banana              1.052kg        $21.82
S Pear                0.594 kg       $17.45
S Apple (green)       1183g          $13.2
S Watermelon          182g           $ 33.18
S Watermelon          1.334kg        $32.36
S Pineapple           1373g          $66.25
S banana              424g           $21.30
P Pear                2.988kg        $18.74
P Banana              9.96 kg        $16.2
S Pineapple           445g           $61.95
P Apple (red)         14.041kg       $7.99
S Orange              1.39 kg        $26.58
S watermelon          461g           $35.11
S Apple (red)         1417 g         $9
S Watermelon          1.174 kg       $34
S Apple (green)       364 g          $14.39
S Banana              0.535 kg       $19.54
S Pear                219 g          $ 20.63
S Apple (green)       127 g          $12.17
S Pear                1.568 kg       $18.74
S Watermelon          1329 g         $ 34.55
S Apple (red)         1664g          $8.30
S Watermelon          1103 g         $35.7
P Orange              1381g          $23.20
S Apple (red)         1.821 kg       $8.0
S Apple (red)         765g           $ 7.6
S Watermelon          1.49kg         $35.86
S Pineapple           1.517 kg       $68.8
S Orange              1167 g         $ 26
S apple (green)       922 g          $13.0
S Pear                228 g          $20.63
S Apple (green)       1.752 kg       $13
S Apple (green)       1.556kg        $ 12.1
P Banana              11.273 kg      $20.52
S Banana              0.748 kg       $20.47
S Pear                109g           $19
S Apple (green)       1.289 kg       $13
S Banana              1.242kg        $19.7
S Banana              130 g          $ 21.46
S Watermelon          104 g          $29.59
S Watermelon          324g           $30.35
S Apple (green)       132 g          $ 13
S Pear                0.536kg        $19.06
P Banana              2.121kg        $18.1
S Apple (red)         1.472kg        $ 7.8
P orange              593 g          $ 24
S Pear                1.379kg        $20.00
P Apple (green)       13.818 kg      $10.1
S Watermelon          1.752 kg       $33.47
P Orange              1.015kg        $ 21.27
S Banana              141g           $22.0
P Orange              1.955 kg       $20.1
S Pineapple           1694g          $57
S Watermelon          0.712 kg       $31.13
S Orange              1726g          $27.28
S Pear                781 g          $21.02
P Watermelon          8.205 kg       $28.52
P Apple (green)       2737g          $10
P apple (green)       2.596 kg       $11.5
S Pear                361 g          $18.05
S Pineapple           807g           $57.50
S Banana              1.721kg        $19.84
S Pear                0.993 kg       $17
S Pineapple           1179 g         $ 64.95
S Watermelon          0.767kg        $29.70
S pineapple           513 g          $69.59
S pear                1.359kg        $19.8
S Apple (green)       1.057kg        $13.98
S Apple (green)       1.166 kg       $13.16
S Watermelon          1.843 kg       $33.3
S Apple (red)         1980g          $8.00
S Banana              181g           $ 20.73
S pear                167g           $19.4
S watermelon          1.143 kg       $31.97
S Pear                195g           $ 21
S Orange              1521g          $23.98
S watermelon          1791g          $33.83
S Watermelon          961g           $31.16
S Pineapple           1359 g         $ 55.88
S Banana              101g           $19.63
S Apple (green)       1.045kg        $13.62
S Watermelon          897g           $32.25
S Apple (green)       1031g          $11.99
P Banana              11.279kg       $20.08
S Apple (green)       1.612kg        $13.9
S Watermelon          495g           $31
S Apple (red)         971 g          $8.0
S Apple (green)       611 g          $12.92
S Pear                1002g          $ 19.33
S Pear                1.822kg        $19
S Watermelon          1.945 kg       $29.74
S pineapple           1.303 kg       $66.60
S Pear                911g           $19.4
P Orange              1.095kg        $23.1
S Apple (red)         318 g          $8.7
S Watermelon          1.585kg        $35.49
P Apple (red)         12.065 kg      $ 7.18
S pineapple           153 g          $58.72
S banana              1.156 kg       $23.85
S Watermelon          165 g          $31.8
P orange              13358g         $ 23
S Watermelon          1838g          $32.7
S Pineapple           444 g          $55.12
P Orange              6832 g         $21.21
S orange              1.611kg        $26.1
S watermelon          339 g          $32.8
S apple (red)         609g           $9.50
S Pineapple           1.498 kg       $57.2
S Pineapple           1078g          $69.5
S watermelon          325g           $ 35.3
P Banana              16853g         $16.42
S Pineapple           1905 g         $68.43
S banana              1.866 kg       $21.2
S Watermelon          1.601 kg       $30.0
S Watermelon          968g           $ 28.83
S Banana              1076 g         $ 19.01
S Apple (green)       441g           $ 11.8
S watermelon          204 g          $31.30
S Orange              1345g          $25.63
S Pineapple           1.069 kg       $61.17
S Banana              973g           $23.19
S Orange              1.867kg        $28.76
S Orange              1.724 kg       $24
P Apple (red)         13.18 kg       $7.93
S Watermelon          399g           $31.47
S Apple (red)         1.541kg        $9.39
S Apple (green)       0.701 kg       $11.55
S watermelon          1.915 kg       $33.18
S Pear                159g           $ 19.13
S Apple (green)       496 g          $12.6
P Apple (red)         18622 g        $8.21
S Pear                1516 g         $17.17
S Apple (green)       1595 g         $13.64
S Apple (red)         596 g          $9.6
S Pear                394g           $19.6
S Banana              1041 g         $22.60
S Watermelon          1.588 kg       $28.7
S Apple (red)         1281g          $9.0
S pear                1.045kg        $19.62
S Pineapple           1500g          $63.03
S Orange              903g           $24.19
S Watermelon          1.537kg        $30.4
S Apple (green)       1.177 kg       $14
S Pineapple           0.711kg        $57.4
S Apple (red)         132 g          $8.88
P Orange              2244g          $ 24.85
S Apple (green)       1021g          $13
S orange              1547g          $28
S Banana              600 g          $22.95
S Apple (green)       0.77 kg        $11.95
S pineapple           1.225kg        $62
S Watermelon          412g           $30.29
P Banana              6918 g         $19.2
S Apple (green)       611g           $ 13.7
S Apple (green)       410 g          $ 14.36
P Apple (green)       2.094kg        $11.5
S Banana              192g           $ 21.04
P Apple (green)       14416 g        $10.52
S pear                1117 g         $17.50
S Pear                1701 g         $17
